"date","statement","falsehood","analysis","category","keywords"
" Sep 21","Falsely said, “I don’t know if you’ve been watching, but the poll numbers (with African-Americans) are going like a rocket ship.”","Falsely described his support among minorities","The only supposed evidence of a sharp increase in his black support in polls was a sudden bump in the Los Angeles Times tracking poll, which has quickly vanished. The Times wrote Wednesday: “Trump’s black support in the poll is back to the single digits, near where it had been all along.”","Trump's endorsements",""
" Oct 5","Falsely said, “Hillary Clinton basically accuses our police of all being racist.”(","Clinton calls cops racist","This is a significant mischaracterization of Clinton’s debate comments, in which she said, “I think implicit bias is a problem for everyone, not just police. I think, unfortunately, too many of us in our great country jump to conclusions about each other.”","African Americans/inner cities",""
" Sep 26","Falsely said, “We have a Fed that's doing political things. This Janet Yellen of the Fed. The Fed is doing political — by keeping the interest rates at this level.”","The Fed is ""political""","There is no evidence that Yellen has kept rates low to help Obama or Clinton, as Trump is suggesting. In fact, he himself endorsed her strategy on CNBC in May.","Government ""corruption""",""
" Sep 28","Falsely said, “The interest rates are so low because the Fed is controlled by the politicians. Never happened before.”","The Fed is ""political""","There is no evidence that the Federal Reserve is no longer acting independently. Experts say Trump’s accusation is ridiculous. Trump himself endorsed the low rates in May.","Government ""corruption""",""
" Oct 15","Falsely said interest rates have been kept low because Obama wants them that way: “It’s horrible that he’s been able to get away with this.”","The Fed is ""political""","There is no evidence at all that Obama’s preferences have had any impact on the Federal Reserve’s rate decisions.","Government ""corruption""",""
" Oct 9","Falsely said, “The Canadians, when they need a big operation, they come into the United States in many cases, because their system is so slow.""","Falsely described Canadian healthcare","Though some Canadians go to the U.S. for operations, Trump’s “the Canadians” and “in many cases” make this such an inaccurate generalization as to be false. Scarce data suggest a tiny percentage of Canadians go to any other country for any kind of care: 1 per cent in 2014, according to an estimate in a study by the conservative Fraser Institute, and some experts think the Fraser number is too high.","Health care",""
" Oct 25","Falsely described Canadian health care: “You know, if you look at even Canada, the people come down. When they want an operation, they come to the United States to get the operation.”","Falsely described Canadian healthcare","It is very rare for Canadians to leave the country for any kind of healthcare. Even according to the conservative Fraser Institute, 99 per cent of patients stayed in Canada for care last year.","Health care",""
" Oct 25","Falsely said of Canadian health care: “It is a disaster in terms of cost, of course.”","Falsely described Canadian healthcare","The U.S. system is more costly than any other in the world. The U.S. spends about twice as much per capita than Canada does. According to a 2015 report from the Organization for Economic Co-operation and Development, Canada spent 10 per cent of GDP on health care in 2013, $4,351 per person; the U.S. spent 16 per cent, or $8,713 per person.","Health care",""
" Sep 15","Falsely said he will “instantly save 2 million jobs” by repealing Obamacare","Falsely described Obamacare","There is no evidence for this claim.","Health care",""
" Oct 9","Falsely said, “…some horrible things like Obamacare, where your health insurance and health care is going up by numbers that are astronomical, 68 per cent, 59 per cent, 71 per cent.”","Falsely described Obamacare","It is a major exaggeration to suggest that most people will see such increases. While a small number of Obamacare plans may spike this much, the vast majority will not. Estimates of various kinds put the increase at 5 per cent to 25 per cent. And non-Obamacare premiums are rising slower than they did under George W. Bush.","Health care",""
" Oct 19","Falsely said of Obamacare, “The premiums are going up 60 per cent, 70 per cent, 80 per cent. Next year they’re going to go up over 100 percent.”","Falsely described Obamacare","Obamacare prices are jumping, but Trump greatly overstates the hikes. Writes the Post: “State-by-state weighted average increases range from just 1.3 per cent in Rhode Island to as high as 71 per cent in Oklahoma. But the most common plans in the marketplace will see an average increase of 9 per cent, according to the Kaiser Family Foundation’s July analysis.”","Health care",""
" Oct 21","Falsely said of Obamacare, “Your premiums are going up 70, 80, 90 per cent and it’s only going to get worse.”","Falsely described Obamacare","Obamacare prices are jumping, but Trump greatly overstates the hikes. Writes the Washington Post: “State-by-state weighted average increases range from just 1.3 per cent in Rhode Island to as high as 71 per cent in Oklahoma. But the most common plans in the marketplace will see an average increase of 9 per cent, according to the Kaiser Family Foundation’s July analysis.”","Health care",""
" Oct 22","Falsely said, “Premiums are going up 60, 70, 80, 90 per cent. Next year it’s going to be worse.”","Falsely described Obamacare","Obamacare prices are jumping, but Trump greatly overstates the hikes. Writes the Washington Post: “State-by-state weighted average increases range from just 1.3 per cent in Rhode Island to as high as 71 per cent in Oklahoma. But the most common plans in the marketplace will see an average increase of 9 per cent, according to the Kaiser Family Foundation’s July analysis.”","Health care",""
" Oct 23","Falsely said of ObamaCare, “It’s already going up 60, 70 and 80 per cent.”","Falsely described Obamacare","ObamaCare prices are jumping, but Trump greatly overstates the hikes. Writes the Washington Post: “State-by-state weighted average increases range from just 1.3 per cent in Rhode Island to as high as 71 per cent in Oklahoma. But the most common plans in the marketplace will see an average increase of 9 per cent, according to the Kaiser Family Foundation’s July analysis.”","Health care",""
" Oct 24","Falsely said, “Premiums are going up 70, 80, 90 per cent” and “The rates are going up 60, 70, per cent.”","Falsely described Obamacare","Obamacare prices are jumping, but Trump greatly overstates the hikes. On the Healthcare.gov federal exchange, the benchmark premium is rising by an average of 25 per cent, the administration announced Monday. Wrote the Washington Post earlier: “State-by-state weighted average increases range from just 1.3 per cent in Rhode Island to as high as 71 per cent in Oklahoma. But the most common plans in the marketplace will see an average increase of 9 per cent, according to the Kaiser Family Foundation’s July analysis.”","Health care",""
" Oct 25","Falsely said, of Obamacare price increases, “The number of 25 per cent is nothing. That’s a phony number too. That’s a lie just like everything else.”","Falsely described Obamacare","It is not a lie, it’s an average. Trump pointed to larger-than-25 increases in some states, but this does not make the 25 figure “phony.”","Health care",""
" Sep 20","Falsely accused Clinton of using his phrase “extreme vetting.”","Clinton said ""extreme vetting""","Clinton said “tough vetting.”","Refugees/Immigration",""
" Oct 15","Falsely suggested, by making a gesture of handing out dollar bills, that corruption was the reason more than 800 people slated for deportation were granted citizenship.","Corruption led to 800 deportees getting citizenship","Homeland Security’s inspector general, who found the mistakes, attributed it to bureaucratic errors.","Refugees/Immigration",""
" Sep 17","Falsely said, “According to the federal government’s own data, there are more than 2 million convicted-criminal illegal immigrants inside the United States right now.”","Exaggerated illegal immigrant crimes","That figure – 1.9 million – refers to the number of non-citizens, illegal AND legal, with convictions. The number of illegal immigrants with convictions is much smaller.","Refugees/Immigration",""
" Oct 5","Falsely said, “An amazing statistic is: there are more than 2 million criminal aliens with convictions in the country right now.”","Exaggerated illegal immigrant crimes","This figure — actually 1.9 million — includes legal immigrants with convictions. By one credible estimate, the number of illegal immigrants with convictions was 820,000.","Refugees/Immigration",""
" Oct 22","Falsely said the country has “two million criminal illegal immigrants.”","Exaggerated illegal immigrant crimes","This number is incorrect. It is taken from a study that found 1.9 million non-citizens who had been convicted of crimes – but many of them were legal immigrants. By one credible estimate, the number of illegal immigrants with convictions was 820,000.","Refugees/Immigration",""
" Oct 24","Falsely said, of illegal immigrants committing murders, “This crime wave ends, believe me, quickly, when I am president.”","Exaggerated illegal immigrant crimes","There is no evidence of a wave of crime by illegal immigrants. Studies suggest that immigrants are less likely to commit crimes, not more.","Refugees/Immigration",""
" Oct 25","Falsely said, of illegal immigrants, “This crime wave ends when Donald Trump becomes president.”","Exaggerated illegal immigrant crimes","There is no evidence of a crime wave by illegal immigrants; Trump simply recited a few anecdotes.","Refugees/Immigration",""
" Sep 17","Falsely said, “The government knows a lot about the people that did it, but they don’t go after them. They’ve killed people, they don’t go after them.”","Govt. doesn't go after illegals","It is false to say the U.S. doesn’t deport people under the Obama administration. He has deported more people than any previous president, more than 2.5 million in all.","Refugees/Immigration",""
" Oct 23","Falsely said, of illegal immigrants being mistakenly granted citizenship, “This is two weeks ago.”","One off","This story was published on Sept. 19, more than a month ago. We might ignore a one-time slip, but Trump repeatedly moves events closer to the present.","Refugees/Immigration",""
" Oct 25","Falsely said federal authorities refused to detain an Ohio illegal immigrant who allegedly committed a murder three weeks later “even though they knew he was very dangerous.”","One off","There is no evidence the Border Patrol or anyone else knew Juan Emmanuel Razo was dangerous; local police said he was sweating and seemed suspicious, but “no crimes were discovered (i.e. burglary, theft, vandalism), and subsequent data base inquiries showed no criminal history.”","Refugees/Immigration",""
" Sep 20","Falsely said the Orlando nightclub massacre is one of those showing “how a failure to screen who is entering the United States puts all of our citizens in great danger.”","Orlando shooter screening","The Orlando killer was born in New York.","Refugees/Immigration",""
" Sep 17","Falsely said, “We’re admitting people here with no idea who they are.”","Said refugees are not screened","Refugees undergo extensive screening.","Refugees/Immigration",""
" Sep 17","Falsely said, “Hundreds of individuals who have been given visas and refugee – think of this, they’ve been given, they’re refugee admissions into this country, subsequently were charged with terrorism, and nobody does anything about it.”","Said refugees are not screened","This figure is incorrect. “I have seen no evidence that there are ‘scores’ of recent migrants charged with terrorism,” Rand Corp’s Seth Jones told the Washington Post.","Refugees/Immigration",""
" Sep 19","Falsely said, “…with no effective way to screen them or vet them. Law enforcement said, ‘There’s no way.’”","Said refugees are not screened","While authorities have discussed shortcomings in refugee screening, nobody has said “there’s no way.”","Refugees/Immigration",""
" Oct 23","Falsely said of Clinton, “You watch her at the end of the debate, where she's, like, exhausted. She could hardly make it to her car: ‘Oh, let's get out. Let’s go.’”","Clinton was exhausted after the debate","Clinton appeared upbeat after the debate, and she took questions from reporters on her airplane afterward. Trump left without taking questions.","Clinton's health",""
" Sep 22","Falsely said that granting illegal immigrants citizenship and access to Social Security and Medicare would amount to “bankrupting these programs for Americans.”","Said refugees are not screened","There is no evidence that adding immigrants to the programs would “bankrupt” them. In fact, Social Security’s independent actuary found in 2013 that the move would improve the program’s financial situation.","Refugees/Immigration",""
" Oct 5","Falsely said, “Thousands of refugees are being admitted with no way to screen them.”","Said refugees are not screened","Refugees are put through an extensive screening process.","Refugees/Immigration",""
" Oct 9","Falsely said, “Hundreds of thousands of people coming in from Syria when we know nothing about them.”","Said refugees are not screened","The U.S. has accepted about 12,500 Syrian refugees. And the refugees are subjected to an extensive vetting process.","Refugees/Immigration",""
" Oct 15","Falsely said of Syrian refugees, “We have no idea who they are, where they come from.”","Said refugees are not screened","Refugees to the U.S. are subjected to an extensive screening process.","Refugees/Immigration",""
" Oct 19","Falsely said of Syrian refugees, “They have no idea where they come from.”","Said refugees are not screened","The refugees are rigorously vetted by U.S. authorities.","Refugees/Immigration",""
" Oct 19","Falsely said Syrian refugees in the U.S. are “definitely, in many cases, ISIS-aligned.”","Said refugees are not screened","Again, there is no evidence of this, given that they are vetted rigorously.","Refugees/Immigration",""
" Oct 22","Falsely said, of Syrian refugees, “We have no idea who they are.”","Said refugees are not screened","The refugees are put through an extensive screening process.","Refugees/Immigration",""
" Oct 24","Falsely said of Syrian refugee intake, “We’re allowing thousands of people, we don’t know who they are, where they’re from, we know nothing about them.”","Said refugees are not screened","The refugees are put through an extensive screening process. Trump can argue that the U.S. still does not know enough about them, but it is false to say it knows nothing.","Refugees/Immigration",""
" Oct 25","Falsely said of Syrian refugees, “We have no idea where they come from. We have no idea who they are.”","Said refugees are not screened","The refugees are put through an extensive screening process.","Refugees/Immigration",""
" Sep 15","Falsely claimed veterans are treated worse than illegal immigrants","Said Veterans ""are treated worse"" than illegals","The Associated Press, Politifact and Washington Post have all found this claim false; the Post has called it “ridiculous.”","Refugees/Immigration",""
" Sep 24","Falsely said, “You have illegal immigrants being treated better than our veterans in many cases.”","Said Veterans ""are treated worse"" than illegals","The campaign’s attempted justifications for this statement are outlandish. The Associated Press, Politifact and Washington Post have all found it false; the Post has called it “ridiculous.”","Refugees/Immigration",""
" Oct 15","Falsely said, “Our veterans, in many cases, are not treated as well — remember this, they’re not treated as well as illegal immigrants.”","Said Veterans ""are treated worse"" than illegals","The campaign’s justifications for this statement are outlandish. The Associated Press, Politifact and Washington Post have all found it false; the Post has called it “ridiculous.”","Refugees/Immigration",""
" Oct 17","Falsely said of illegal immigrants, “In many cases they’re being treated better than our great veterans.”","Said Veterans ""are treated worse"" than illegals","Every news outlet that has examined this claim has pronounced it ridiculous.","Refugees/Immigration",""
" Oct 18","Falsely said of illegal immigrants, “They get taken care of better than our great vets.”","Said Veterans ""are treated worse"" than illegals","Every news outlet that has examined this claim has pronounced it ridiculous.","Refugees/Immigration",""
" Oct 19","Falsely said, “We take care of illegal immigrants, people that come into the country illegally, better than we take care of our vets.”","Said Veterans ""are treated worse"" than illegals","Every news outlet that has examined this claim has found it ridiculous.","Refugees/Immigration",""
" Oct 15","Falsely said, “To be deported from this country, you gotta be bad. Because we don’t deport.”","U.S. doesn't deport","While Obama has primarily focused on deporting people with convictions, it is false to say the U.S. doesn’t deport under his administration. He has deported more people than any previous president, more than 2.5 million in all.","Refugees/Immigration",""
" Oct 24","Falsely said, “Seventy-five per cent of the American people think our country is on the wrong track, according to all of the latest polls” and “Close to 80 per cent of the people in this country feel that our country is going in the wrong direction.”","Americans think US is on the wrong track","The “wrong track” number averages 64 per cent in the polls. It has not been higher than 70 per cent in any poll for more than three months, according to RealClearPolitics.","Obama's record",""
" Oct 25","Falsely said, “75 per cent of the American people think our country is on the wrong track. Every poll says it.”","Americans think US is on the wrong track","Sixty-four per cent think so, according to polling averages. No poll that has asked this common “right direction/wrong track” question has recorded a “wrong track” answer higher than 70 per cent since July.","Obama's record",""
" Sep 20","Falsely said Obama “said, and very strongly said, that he wants 120,000” refugees next year.","Obama said 120,000 refugees","Obama said he wants 110,000 refugees.","Refugees/Immigration",""
" Oct 21","Falsely said of Philippines President Rodrigo Duterte, “Remember he didn’t want Obama to come there a few weeks ago.”","Obama was shunned by Duterte","Duterte did insult Obama, calling him a “son of a whore,” but it was Obama who cancelled their meeting, not Duterte, and it was to be in Laos, not an Obama visit to the Philippines. Duterte expressed regret after the cancellation, though he later started insulting America again.","Obama's record",""
" Sep 16","Falsely claimed that, before Obama, Air Force One was always greeted by top foreign leaders; said he would turn around Air Force One if top Cuban, Saudi or Chinese officials didn’t greet him","Obama was snubbed, Air Force One greeted by heads of state","“He’s wrong, wrong, wrong,” the Washington Post’s fact checkers wrote; Reagan and other Obama predecessors were sometimes greeted by foreign ministers and other people who are not presidents and prime ministers.","Obama's record",""
" Oct 21","Falsely said, of top foreign leaders not greeting Obama upon his landing in their countries, “Probably the first time it’s ever happened in the fabled history of Air Force One.”","Obama was snubbed, Air Force One greeted by heads of state","“He’s wrong, wrong, wrong,” the Washington Post’s fact checkers wrote when Trump made an earlier version of this claim; Reagan and other Obama predecessors were sometimes greeted by foreign ministers and other people who are not presidents and prime ministers.","Obama's record",""
" Sep 22","Falsely said Clinton’s interest in child care policy has come “all of a sudden.”","Clinton only likes child care now","Clinton made child care proposals during her 2008 campaign and in the Senate. She released her new plan in 2015, a year before Trump released his.","Clinton's policies",""
" Oct 24","Falsely said, of Clinton’s abortion views, “a day prior to birth you can take that baby.”","Clinton supports last-day abortion","Abortions are not performed a day prior to birth, doctors say.","Clinton's policies",""
" Sep 17","Falsely said, “Hillary Clinton is the first person to ever run for the presidency of a country effectively proposing to abolish the borders around the country that she’s supposed to be representing.”","Clinton wants ""open borders""","Clinton does not support this.","Clinton's policies",""
" Sep 20","Falsely said, “Hillary Clinton wants open borders.”","Clinton wants ""open borders""","She does not.","Clinton's policies",""
" Oct 1","Falsely said, “Like the European Union, she wants to erase our borders.”","Clinton wants ""open borders""","Clinton is not proposing to erase borders or create anything like the European Union.","Clinton's policies",""
" Oct 1","Falsely said of Clinton’s refugee policy: “She wants people to pour into our country without knowing who they are.”","Clinton wants ""open borders""","Clinton is not proposing a loosening of the strict screening process for refugees.","Clinton's policies",""
" Oct 5","Falsely said of Clinton, “She’s for open borders.”","Clinton wants ""open borders""","Clinton is not.","Clinton's policies",""
" Oct 15","Falsely said, “Hillary’s plan includes an open border with the Middle East, meaning generations of radicalism within our shores.”","Clinton wants ""open borders""","Clinton is not advocating unrestricted immigration or refugee intake from the Middle East.","Clinton's policies",""
" Oct 15","Falsely said, “By ‘open borders,’ she means totally unlimited immigration flowing into our country.”","Clinton wants ""open borders""","Clinton supports limits on immigration.","Clinton's policies",""
" Oct 17","Falsely said, “Hillary’s plan includes open borders with the Middle East.”","Clinton wants ""open borders""","It doesn’t.","Clinton's policies",""
" Oct 17","Falsely said, “By ‘open borders,’ she means totally unlimited immigration.”","Clinton wants ""open borders""","Clinton supports limits on immigration.","Clinton's policies",""
" Oct 18","Falsely said, “By ‘open borders’ she means totally unlimited immigration. Come on in, folks.”","Clinton wants ""open borders""","Clinton does not support unlimited immigration.","Clinton's policies",""
" Oct 18","Falsely said, “Hillary’s plan includes an open border with the Middle East.”","Clinton wants ""open borders""","It does not.","Clinton's policies",""
" Oct 19","Falsely said, of Clinton’s immigration plan, “She wants to have open borders.”","Clinton wants ""open borders""","Clinton is not proposing “open borders” for immigrants, though she used the phrase in the context of energy and the economy in a 2013 speech.","Clinton's policies",""
" Oct 21","Falsely said, “Hillary’s plan includes an open border with the Middle East.”","Clinton wants ""open borders""","It does not.","Clinton's policies",""
" Oct 21","Falsely said, “Hillary wants open borders where people can just flow through.”","Clinton wants ""open borders""","She does not.","Clinton's policies",""
" Oct 22","Falsely said, “Hillary’s plan includes an open border with the Middle East.”","Clinton wants ""open borders""","It does not.","Clinton's policies",""
" Oct 24","Falsely said, “Wow, just came out on secret tape that Crooked Hillary wants to take in as many Syrians as possible.”","Clinton wants ""open borders""","No such tape has just come out. In an undercover video by a conservative group in 2015, Clinton aide Huma Abedin benignly agrees with a provocateur’s suggestion that the U.S. should accept Syrian refugees, as Clinton has said publicly.","Clinton's policies",""
" Oct 25","Falsely said Clinton’s immigration plan “includes an open border with the Middle East. She wants people to pour in.”","Clinton wants ""open borders""","Clinton is not proposing an open border with the Middle East.","Clinton's policies",""
" Sep 19","Falsely said, “All together, her plan would bring in 620,000 refugees in her first term ...”","Clinton wants 620,000 refugees","Clinton has not actually proposed the 620,000 number, which was implausibly calculated by Trump ally Jeff Sessions.","Clinton's policies",""
" Sep 20","Falsely claimed, “All together, her plan would bring in 620,000 refugees in her first term . . . ”","Clinton wants 620,000 refugees","Clinton has not actually proposed the 620,000 number, which was implausibly calculated by Trump ally Jeff Sessions.","Clinton's policies",""
" Sep 21","Falsely said, “All together, the Hillary Clinton plan would bring in 620,000 refugees in her first term.”","Clinton wants 620,000 refugees","Clinton has not actually proposed the 620,000 number, which was calculated by Trump ally Sen. Jeff Sessions based on assumptions.","Clinton's policies",""
" Sep 22","Falsely claimed Hillary Clinton is seeking a ""total government takeover of health care.""","Clinton wants a govt. takeover of health care","Clinton advocates an expansion of the government role in health care, but she is not proposing anything close to a takeover.","Clinton's policies",""
" Oct 9","Falsely said, “She wants to go to a single-payer plan, which would be a disaster. Somewhat similar to Canada.”","Clinton wants Canadian healthcare","Clinton is not calling for a single-payer system like Canada’s; she wants to add a “public option” to the current system, but she would not transform the system.","Clinton's policies",""
" Oct 25","Falsely said of Clinton, “She wants to put the government totally in charge of your health care.”","Clinton wants Canadian healthcare","Clinton is not advocating that the current system be replaced by a single-payer, government-run system.","Clinton's policies",""
" Sep 26","Falsely said, “And now you want to approve Trans-Pacific Partnership.”","Clinton wants TPP","Clinton made a significant false claim on this subject too; see below. But it is false that she “now” wants to approve it. Though she supported it as secretary of state, she is campaigning in opposition to it.","Clinton's policies",""
" Oct 17","Falsely said Clinton will “double your health-care costs.”","Clinton will double health costs","There is no evidence of this.","Clinton's policies",""
" Oct 18","Falsely said Clinton’s immigration plan includes “expanding catch and release on the border.”","Clinton will expand catch and release","Writes the New York Times: “The practice of ‘catch and release’ — releasing illegal border crossers back into Mexico without charging them with any violation — was ended in 2006, under the Bush administration.”","Clinton's policies",""
" Sep 17","Falsely said, “Her plan calls for...ignoring visa overstays, closing detention centres.”","Clinton will ignore visa overstays, close detention centres","Clinton is not calling to ignore visa overstays. She wants to close only privately owned detention centres, not all detention centres.","Clinton's policies",""
" Oct 1","Falsely said, “She also wants to shut down production of shale energy.”","Clinton will stop shale oil","Clinton has called for strict new restrictions, but not a shutdown. “With strong safeguards in place, natural gas can play an important role in our transition to a clean energy economy,” she has said.","Clinton's policies",""
" Sep 16","Falsely claimed Clinton “is raising your taxes substantially.”","Falsely described Clinton's tax plan","Her tax hike is only on the top 1 per cent","Clinton's policies",""
" Sep 17","Falsely said, “Hillary Clinton is going to raise your taxes very, very substantially.”","Falsely described Clinton's tax plan","Clinton’s tax hike only applies to the top 1 per cent of earners.","Clinton's policies",""
" Sep 20","Falsely claimed, “You know, people don’t understand, but Hillary Clinton is raising your taxes . . . very substantial tax increase.”","Falsely described Clinton's tax plan","Clinton is only planning a hike on the top 1%.","Clinton's policies",""
" Sep 24","Falsely said, “Hillary is going to raise your taxes substantially.”","Falsely described Clinton's tax plan","This would be true if Trump were talking to an audience of very wealthy people, but it is false when addressed to a rally crowd of average people: According to the Tax Policy Center: “Nearly all of the tax increases would fall on the top 1 percent; the bottom 95 percent of taxpayers would see little or no change in their taxes.”","Clinton's policies",""
" Sep 28","Falsely said, “She is going to raise your taxes.”","Falsely described Clinton's tax plan","This would be true if Trump was speaking to the rich, but it isn’t when addressed to a rally crowd. Says the Tax Policy Center: “Nearly all of (Clinton’s) tax increases would fall on the top 1 per cent; the bottom 95 per cent of taxpayers would see little or no change in their taxes.”","Clinton's policies",""
" Oct 9","Falsely said, “She is raising everybody’s taxes, massively.”","Falsely described Clinton's tax plan","Clinton’s tax hikes are for very wealthy people. Says the Tax Policy Center: “Nearly all of (Clinton’s) tax increases would fall on the top 1 per cent; the bottom 95 per cent of taxpayers would see little or no change in their taxes.”","Clinton's policies",""
" Oct 15","Falsely said, “Crooked Hillary is lifting your taxes way up,” and “Hillary will raise taxes, and raise your taxes by a lot.”","Falsely described Clinton's tax plan","This claim would only be true if addressed to an audience of very rich people. The Tax Policy Center says most residents below the top 1 per cent will receive minor tax cuts under Clinton’s plan, while the top 1 per cent will be hit with an average increase of $118,000.","Clinton's policies",""
" Oct 17","Falsely said, “Crooked Hillary wants to raise your taxes big league.”","Falsely described Clinton's tax plan","This would only be true if addressed to very rich people. The Tax Policy Center says most residents below the top 1 per cent will receive minor tax cuts under Clinton’s plan, while the top 1 per cent will be hit with an average increase of $118,000.","Clinton's policies",""
" Oct 19","Falsely said, “Her plan is going to raise taxes and even double your taxes.”","Falsely described Clinton's tax plan","Clinton is only raising taxes on the highest earners. The Tax Policy Center says most residents below the top 1 per cent will receive minor tax cuts under her plan, and even most of the highest earners will not see a doubling.","Clinton's policies",""
" Oct 21","Falsely said, “Hillary Clinton is going to raise your taxes a lot.”","Falsely described Clinton's tax plan","Clinton is only raising taxes on the highest earners. The Tax Policy Center says most residents below the top 1 per cent will receive minor tax cuts under her plan, and even most of the highest earners will not see a doubling.","Clinton's policies",""
" Oct 22","Falsely said, “Your taxes will go way, way down under a Trump administration, and Hillary Clinton is raising your taxes.”","Falsely described Clinton's tax plan","Clinton is only raising taxes on the highest earners. The Tax Policy Center says most residents below the top 1 per cent will receive minor tax cuts under her plan, and even most of the highest earners will not see a doubling. Meanwhile, experts say the overwhelming majority of Trump’s cuts will go to the rich. Half are for the top 1 per cent, according to the Tax Policy Center, and some middle-class families will pay even more than they do now. Most families below the top 20 per cent of earners are expected to reap income gains of less than 1 per cent.","Clinton's policies",""
" Oct 23","Falsely said, “She’s going to raise your taxes big league, by the way.”","Falsely described Clinton's tax plan","This would only be true if addressed to rich people; Clinton is only raising taxes on the highest earners. The Tax Policy Center says most residents below the top 1 per cent will receive minor tax cuts under her plan.","Clinton's policies",""
" Oct 9","Falsely said, “I've gotten to see some of the most vicious commercials I've ever seen of Michelle Obama talking about you, Hillary.” ","Michelle attack ads","There are no Michelle Obama attack ads against Clinton.","WTF",""
" Oct 24","Falsely said, “Hillary Clinton is going to raise your taxes substantially.”","Falsely described Clinton's tax plan","Clinton is only raising taxes on the highest earners. The Tax Policy Center says most residents below the top 1 per cent will receive minor tax cuts under her plan, and even most of the highest earners will not see a doubling.","Clinton's policies",""
" Oct 25","Falsely said of Clinton, “She’s going to raise your taxes.”","Falsely described Clinton's tax plan","Clinton’s plan includes only tax hikes on the rich.","Clinton's policies",""
" Sep 17","Falsely said, “We’re going to have a massive tax reduction, big league tax reduction, for working and middle-class families.”","Falsely described his own tax plan","Trump’s bracket changes would give middle-class families an income boost of 0.5 per cent or less, according to the conservative Tax Foundation.","Clinton's policies",""
" Sep 19","Falsely said, “I am going to massively lower your taxes. That’s businesses, and that’s middle-income, that’s everybody.”","Falsely described his own tax plan","Trump has no massive middle-income tax cut. According to the conservative Tax Foundation, people below the top 1 per cent of earners would get only a 2 per cent income boost before accounting for hypothetical economic growth, while the superrich would get more than 10 per cent.","Clinton's policies",""
" Sep 20","Falsely claimed, “We’re going to cut your taxes massively.”","Falsely described his own tax plan","Only the super-rich will get a big cut; according to conservative Tax Foundation, Trump would give people below the top 1 per cent only a 2 per cent income boost before accounting for hypothetical economic growth.","Clinton's policies",""
" Sep 21","Falsely said of his tax plan, “Income taxes will be cut dramatically for the workers … The workers, the middle-class, families, everybody, we’re having major, major tax reductions.”","Falsely described his own tax plan","Trump is not offering a dramatic or major tax cut for the middle-class. According to the conservative Tax Foundation, his plan would give people in the bottom 80 per cent less than a 2 per cent income boost before accounting for hypothetical economic growth.","Clinton's policies",""
" Oct 5","Falsely denied that he’s cutting taxes for the rich more than the middle class: “No, no, no. We’re cutting taxes for the middle class more than anything.”","Falsely described his own tax plan","Trump’s tax cuts overwhelmingly benefit the rich. Writes the Tax Foundation: “The bottom 80 per cent of taxpayers would see an increase in after-tax income between 0.8 per cent and 1.9 per cent,” while taxpayers in the top 20 per cent would see between 4.4 per cent and 8.7 per cent — and “ taxpayers in the top 1 per cent would see the largest increase in after-tax income on a static basis.”","Clinton's policies",""
" Oct 9","Falsely said, “I will tell you we are cutting (taxes) big league for the middle-class.”","Falsely described his own tax plan","The vast majority of Trump’s tax cuts go to the rich, and some analyses suggest the middle-class will actually pay more taxes. The Tax Foundation found that the middle quintile of earners would get an income boost of 1.3 per cent.","Clinton's policies",""
" Oct 15","Falsely said, of his tax plan, “We will lower taxes massively on all Americans … our biggest reductions will be for the working and middle class.”","Falsely described his own tax plan","Independent experts say the overwhelming majority of his cuts will go to the rich. Half go to the top 1 per cent, according to the Tax Policy Center, and some middle-class families will pay even more than they do now. Most families below the top 20 per cent of earners are expected to reap income gains of less than 1 per cent.","Clinton's policies",""
" Oct 17","Falsely said, “Your taxes will go way down under a Trump administration.”","Falsely described his own tax plan","This claim would only be true if addressed to very rich people. Independent experts say the overwhelming majority of Trump’s cuts will go to the rich. Half are for the top 1 per cent, according to the Tax Policy Center, and some middle-class families will pay even more than they do now. Most families below the top 20 per cent of earners are expected to reap income gains of less than 1 per cent.","Clinton's policies",""
" Oct 18","Falsely said, “Your taxes will go way, way down under a Trump administration.”","Falsely described his own tax plan","This claim would only be true if addressed to very rich people. Independent experts say the overwhelming majority of Trump’s cuts will go to the rich. Half are for the top 1 per cent, according to the Tax Policy Center, and some middle-class families will pay even more than they do now. Most families below the top 20 per cent of earners are expected to reap income gains of less than 1 per cent.","Clinton's policies",""
" Oct 19","Falsely said, “We are going to cut taxes massively.”","Falsely described his own tax plan","This claim would only be true if addressed to rich people. Experts say the overwhelming majority of Trump’s cuts will go to the rich. Half are for the top 1 per cent, according to the Tax Policy Center, and some middle-class families will pay even more than they do now. Most families below the top 20 per cent of earners are expected to reap income gains of less than 1 per cent.","Clinton's policies",""
" Oct 21","Falsely said, “Your taxes will go way, way down under a Trump administration.”","Falsely described his own tax plan","This claim would only be true if addressed to rich people. Experts say the overwhelming majority of Trump’s cuts will go to the rich. Half are for the top 1 per cent, according to the Tax Policy Center, and some middle-class families will pay even more than they do now. Most families below the top 20 per cent of earners are expected to reap income gains of less than 1 per cent.","Clinton's policies",""
